id,title,num_subscribers,avg_rating,num_reviews,num_lectures,num_practice_tests,year,price_amount,discount_amount,currency
2508942,JavaScript - The Complete Guide 2020 (Beginner + Advanced),13785,4.6284,494,147,0,2019,432.0,22.75,SR
459948,Microsoft SQL for Beginners,13785,4.48662,494,39,0,2015,144.0,22.75,SR
781532,Advanced React and Redux,13785,4.49197,494,147,0,2016,432.0,22.75,SR
1035484,Unreal Engine 4: How to Develop Your First Two Games,13785,4.48488,494,85,0,2017,448.0,22.75,SR
246314,Appium -Mobile Automation Testing from Scratch + Frameworks,13785,4.55344,494,147,0,2014,432.0,22.75,SR
622414,Taming Big Data with Apache Spark and Python - Hands On!,13785,4.4622,494,51,0,2015,432.0,22.75,SR
1166306,The Complete Front-End Web Development Course!,13785,4.31167,494,126,0,2017,448.0,22.75,SR
861624,ES6 Javascript: The Complete Developer's Guide,13785,4.57096,494,68,0,2016,256.0,22.75,SR
753140,Data Science: Natural Language Processing (NLP) in Python,13785,4.63818,494,77,0,2016,432.0,22.75,SR
1581488,Complete C# Masterclass,13785,4.51882,494,147,0,2018,432.0,22.75,SR
827692,The Complete Java Certification Course,13785,4.43775,494,58,0,2017,432.0,22.75,SR
1638522,Node.js: The Complete Guide to Build RESTful APIs (2018),13785,4.61749,494,147,0,2018,432.0,22.75,SR
577248,Python for Beginners with Examples,13785,4.27857,494,83,0,2015,192.0,22.75,SR
1241254,AWS Serverless APIs & Apps - A Complete Introduction,13785,4.64437,494,142,0,2017,432.0,22.75,SR
1042110,"Beginner Full Stack Web Development: HTML, CSS, React & Node",13785,4.44284,494,147,0,2017,432.0,22.75,SR
951684,Xamarin Forms: Build Native Cross-platform Apps with C#,13785,4.43966,494,117,0,2016,448.0,22.75,SR
758582,PHP with Laravel for beginners - Become a Master in Laravel,13785,4.47688,494,147,0,2016,432.0,22.75,SR
919872,Android Java Masterclass - Become an App Developer,13785,4.45782,494,147,0,2016,320.0,22.75,SR
1360780,Practice Java by Building Projects,13785,4.3277,494,39,0,2017,64.0,22.75,SR
551498,Entity Framework in Depth: The Complete Guide,13785,4.56828,494,79,0,2015,320.0,22.75,SR
1218586,The Advanced Web Developer Bootcamp,13785,4.37709,494,147,0,2017,608.0,22.75,SR
535622,"Python for Data Structures, Algorithms, and Interviews!",13785,4.37645,494,147,0,2016,432.0,22.75,SR
246652,Selenium WebDriver With Java - Novice To Ninja + Interview,13785,4.50591,494,147,0,2014,432.0,22.75,SR
1329100,Progressive Web Apps (PWA) - The Complete Guide,13785,4.66667,494,147,0,2017,432.0,22.75,SR
43718,C++: From Beginner to Expert,13785,4.26022,494,83,0,2013,432.0,22.75,SR
131816,The Agile Samurai Bootcamp,13785,4.44243,494,34,0,2014,432.0,22.75,SR
1080408,Artificial Intelligence: Reinforcement Learning in Python,13785,4.65859,494,107,0,2017,96.0,22.75,SR
221696,Git Going Fast: One Hour Git Crash Course,13785,4.31412,494,32,0,2014,64.0,22.75,SR
977360,Learn DevOps: Infrastructure Automation With Terraform,13785,4.36951,494,91,0,2016,128.0,22.75,SR
772618,Learn Object Oriented PHP By Building a Complete Website,13785,4.17045,494,33,0,2016,64.0,22.75,SR
1110626,RPG Core Combat Creator: Learn Intermediate Unity C# Coding,13785,4.70435,494,147,0,2017,448.0,22.75,SR
1495788,Learn to Code in Python 3: Programming beginner to advanced,13785,4.46519,494,45,0,2019,288.0,22.75,SR
618736,"JSP, Servlets and JDBC for Beginners: Build a Database App",13785,4.56239,494,117,0,2015,304.0,22.75,SR
1175200,Statistics for Business Analytics and Data Science A-Z™,13785,4.48136,494,42,0,2017,432.0,22.75,SR
881980,Pre-Programming: Everything you need to know before you code,13785,4.55258,494,87,0,2016,400.0,22.75,SR
