id,title,categories,num_subscribers,avg_rating,num_reviews,num_lectures,num_practice_tests,year,price_amount,discount_amount,currency
913448,Python A-Z™: Python For Data Science With Real Exercises!,"['data science', 'AI', 'python']",13785,4.57585,494,75,0,2016,432.0,22.75,SR
836376,Python for Absolute Beginners,"['data science', 'AI', 'python']",13785,4.40699,494,89,0,2016,160.0,22.75,SR
405282,PHP for Beginners - Become a PHP Master - CMS Project,"['web', 'data science']",13785,4.41235,494,147,0,2015,432.0,22.75,SR
1298780,Statistics for Data Science and Business Analysis,['data science'],13785,4.48401,494,92,0,2017,448.0,22.75,SR
1286908,The Complete React Developer Course (w/ Hooks and Redux),"['web', 'data science']",13785,4.63458,494,147,0,2017,320.0,22.75,SR
1436092,React Native - The Practical Guide [2020 Edition],['mobile'],13785,4.64044,494,147,0,2017,432.0,22.75,SR
1219332,Artificial Intelligence A-Z™: Learn How To Build An AI,['AI'],13785,4.30203,494,118,0,2017,432.0,22.75,SR
947098,Understanding TypeScript - 2020 Edition,['other'],13785,4.6798,494,147,0,2016,432.0,22.75,SR
719002,Angular Crash Course for Busy Developers,"['web', 'data science']",13785,4.46987,494,137,0,2016,432.0,22.75,SR
1326292,Complete Guide to TensorFlow for Deep Learning with Python,"['data science', 'AI', 'python']",13785,4.43839,494,96,0,2017,432.0,22.75,SR
642102,Learn How To Code: Google's Go (golang) Programming Language,['go'],13785,4.54018,494,147,0,2015,112.0,22.75,SR
396876,Learning Python for Data Analysis and Visualization,"['data science', 'AI', 'python']",13785,4.34467,494,110,0,2015,432.0,22.75,SR
1467808,C Programming For Beginners - Master the C Language,['data science'],13785,4.37568,494,137,0,2017,432.0,22.75,SR
1309202,Go: The Complete Developer's Guide (Golang),['go'],13785,4.58392,494,82,0,2017,272.0,22.75,SR
41295,Learn HTML5 Programming From Scratch,"['web', 'html']",13785,4.41079,494,72,0,2013,64.0,22.75,SR
892102,iOS 10 & Swift 3: From Beginner to Paid Professional™,"['data science', 'AI', 'mobile']",13785,4.42857,494,147,0,2016,432.0,22.75,SR
53670,Selenium WebDriver Training with Java and Many Live Projects,"['web', 'data science', 'AI', 'java']",13785,4.45244,494,147,0,2014,432.0,22.75,SR
221674,"Git Complete: The definitive, step-by-step guide to Git",['software development tools'],13785,4.38646,494,84,0,2014,432.0,22.75,SR
356030,C# Advanced Topics: Prepare for Technical Interviews,"['data science', 'c#']",13785,4.55991,494,21,0,2014,448.0,22.75,SR
1212032,Python for Financial Analysis and Algorithmic Trading,"['data science', 'AI', 'python']",13785,4.54272,494,120,0,2017,432.0,22.75,SR
1405812,The Complete Android Oreo Developer Course - Build 23 Apps!,"['data science', 'mobile']",13785,4.46925,494,147,0,2017,432.0,22.75,SR
164058,The Ultimate Excel Programmer Course,['data science'],13785,4.47151,494,147,0,2014,432.0,22.75,SR
2153774,Modern HTML & CSS From The Beginning (Including Sass),"['web', 'html', 'css']",13785,4.7285,494,129,0,2019,432.0,22.75,SR
1120038,Learn JIRA with real-world examples (+Confluence bonus),['software development tools'],13785,4.47068,494,84,0,2017,160.0,22.75,SR
1328572,The Ultimate Guide to Game Development with Unity 2019,['game development'],13785,4.5467,494,147,0,2017,432.0,22.75,SR
1070124,"Ionic - Build iOS, Android & Web Apps with Ionic & Angular","['web', 'mobile']",13785,4.65732,494,147,0,2017,432.0,22.75,SR
246154,Web Design for Beginners: Real World Coding in HTML & CSS,"['web', 'data science', 'html', 'css']",13785,4.60769,494,71,0,2014,416.0,22.75,SR
